x,y
89657.12439147654,43129.13332587747
89657.1435004181,43127.78177614929
89657.09353134471,43127.78001781048
89656.97761455041,43126.32171848811
89656.92834828584,43126.32678895119
89656.81988261937,43125.67828712173
89656.77318656225,43125.695309110684
89656.4091394131,43124.91316788551
89656.3677673681,43124.94053767048
89655.73287380936,43124.09830078854
89655.69958364619,43124.13508185724
89654.66989854252,43123.14466450841
89654.64207787,43123.18619735929
89653.49707545806,43122.25628281063
89653.47148862014,43122.29920945357
89652.94147370706,43121.947883070956
89652.91745725785,43121.99173700721
89651.95354292917,43121.390284067646
89651.92894880811,43121.433808433416
89651.40838904049,43121.07040017385
89651.38121505901,43121.11231512329
89650.64481045117,43120.67403101638
89650.61553143329,43120.71456022636
89650.2977440769,43120.41958591331
89650.2655150001,43120.457652701894
89650.03721610084,43120.168882860584
89650.02735852808,43120.210607423855
89649.0349781636,43120.250117561445
89649.04773879517,43120.29839697872
89648.51844789652,43120.359178006576
89648.52792978381,43120.408262916564
89647.64252880777,43120.51165052856
89647.6536350457,43120.56033485361
89645.7348931368,43121.00452518866
89645.74717782118,43121.052973866754
89643.36014805238,43121.568094312854
89643.37257843433,43121.61650136454
89641.10468808142,43122.09510635509
89641.11468367619,43122.143936255554
89639.36537348178,43122.42841100411
89639.37488642495,43122.47737515658
89638.2644145215,43122.72274421269
89638.28025287433,43122.7700691316
89636.47904186061,43123.44727234727
89636.502221512,43123.491292409126
89635.83302106995,43123.87410429942
89635.86369157021,43123.91339974539
89634.54659885875,43125.057252192826
89634.58272498564,43125.09164630706
89633.98514432766,43125.73479139694
89634.0257745407,43125.76370170794
89632.81762365694,43127.597921761844
89632.86037900508,43127.62384434378
89631.5332625047,43129.65665960402
89631.57576696345,43129.68298707882
89629.97491785843,43132.052747347
89630.01690752529,43132.07988845204
89628.32579676459,43134.627820903566
89628.3670780347,43134.656020607974
89626.46257422185,43137.4190572412
89626.50343772746,43137.44786993021
89624.52593836049,43140.35591933352
89624.56851307077,43140.38193884677
89623.91394677066,43141.51926823174
89623.95766885398,43141.54349986937
89621.2504281933,43145.89767676691
89621.29229505223,43145.92490323773
89619.66975078016,43148.20709299233
89619.7111754948,43148.235048594855
89617.93827680638,43151.00423609618
89617.98007114434,43151.03166539714
89616.87978762566,43152.574757754875
89616.92130919933,43152.60261051555
89616.39651271777,43153.308693551
89616.43907578877,43153.33488581789
89615.35725927546,43155.036799163194
89615.40147772244,43155.06006677913
89614.50935670653,43156.43379369173
89614.55319648967,43156.45769904832
89614.19891609742,43156.93911110532
89614.24138311553,43156.965502011386
89613.22337371274,43158.52324298791
89613.26665754992,43158.54819941952
89612.99991209108,43158.94745004537
89613.04361568802,43158.971714455125
89612.60285131793,43159.686778822695
89612.64875269312,43159.705191203626
89612.32071062969,43160.865784715934
89612.37001574607,43160.87074053954
89612.3541403939,43162.46626443202
89612.40308573961,43162.45828802863
89612.86056867616,43164.15661624698
89612.90517966889,43164.135389137235
89613.77808446817,43165.45621304229
89613.81718600533,43165.42525353699
89614.14493607752,43165.857793652656
89614.17799833787,43165.82063860504
89614.91669430968,43166.414988932156
89614.94225049144,43166.372226589425
89616.31533431154,43167.073175163416
89616.33206309107,43167.026376318085
89617.2567933026,43167.29771930285
89617.26202957143,43167.24840383016
89618.20744476674,43167.27917253133
89618.2040065662,43167.229346105276
89619.49213571643,43167.115610996785
89619.48108244987,43167.067149032824
89620.09569640188,43166.90720350961
89620.07245419094,43166.8636331216
89620.63616122995,43166.50006486121
89620.60586946954,43166.46028571311
89621.48674595136,43165.8745122697
89621.45188387658,43165.8392168468
89621.8321062293,43165.43868955543
89621.7912715768,43165.409959840545
89622.41329321406,43164.60325498109
89622.37302837454,43164.57382719448
89622.71563641634,43164.24658762715
89622.67556194658,43164.216860708664
89623.32083107799,43163.22623692086
89623.27889015432,43163.19901651631
89624.88558110397,43160.723613921116
89624.84299441762,43160.697448910694
89627.03277087283,43157.24639061124
89626.98998569109,43157.22053516797
89628.55400874373,43154.84830298875
89628.51065724334,43154.823482319385
89629.43732746839,43153.30712285817
89629.39270756775,43153.284564968155
89631.31363817872,43149.94745418969
89631.26915806586,43149.924629863934
89632.23837627146,43148.30724941686
89632.19412872252,43148.28396644826
89633.99653853194,43145.34959129519
89633.95271641263,43145.3255418928
89634.9556295834,43143.61590286724
89634.91330943562,43143.58933758628
89636.22671510573,43141.73028934089
89636.18439185254,43141.70372943181
89637.10766862571,43140.30240967838
89637.06435265415,43140.27743520891
89638.0095930273,43138.8513183172
89637.96749549988,43138.82443973561
89638.26100018158,43138.49516379051
89638.22507766118,43138.46113208296
89638.51396875396,43138.29666921025
89638.48725447182,43138.25470920565
89639.56064273776,43137.10981916801
89639.54618950005,43137.06268784945
89643.69382907294,43135.934279004694
89643.69873882906,43135.88585290336
89644.89095031287,43136.310125350814
